,ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,total_mv
2440,600295.SH,20240425,12.66,0.4788,,12.2026,1.6657,3543250.7376
2461,603529.SH,20240425,32.93,1.8259,,15.0885,3.8991,2838319.3774
2464,601156.SH,20240425,18.5,2.2417,,11.8031,1.9006,2936977.7786
2521,000001.SZ,20240425,10.61,0.574,,4.4322,0.4954,20589679.2081
2524,002078.SZ,20240425,15.7,0.6168,,14.2188,1.6842,4387479.7968
2546,600426.SH,20240425,28.64,0.8626,,17.006,2.0291,6081188.4771
2582,002466.SZ,20240425,39.19,5.5074,,8.8141,1.2484,6431947.3838
2591,600585.SH,20240425,22.56,0.2832,,11.4622,0.6451,11955226.6182
2604,600298.SH,20240425,28.73,0.7251,,19.6485,2.4547,2495688.2751
2635,601098.SH,20240425,12.41,0.4738,,15.929,1.447,2228836.0
2659,002601.SZ,20240425,20.21,1.3935,,14.9474,1.9884,4822698.6704
2684,601009.SH,20240425,9.45,0.197,,5.3101,0.7242,9774828.648
2768,600741.SH,20240425,17.6,0.3963,,7.6915,0.9605,5548794.2118
2794,600380.SH,20240425,11.99,0.5827,,15.5124,1.6256,2238095.082
2841,002384.SZ,20240425,14.12,3.277,,12.2896,1.314,2414332.6657
2936,603260.SH,20240425,46.16,0.1191,,10.5997,1.702,5457067.2397
2941,002304.SZ,20240425,98.4,0.1949,,15.8069,2.8438,14823419.5282
3019,601186.SH,20240425,8.56,0.3563,,4.4542,0.4643,11624087.524
3024,600985.SH,20240425,18.24,0.5273,,7.8922,1.2254,4912503.8852
3053,603589.SH,20240425,39.26,0.4713,,15.1959,2.5186,2355600.0
3059,601019.SH,20240425,10.06,0.511,,8.8365,1.4123,2099421.4
3070,601881.SH,20240425,11.19,0.4271,,15.5298,1.2158,12235596.1245
3105,600732.SH,20240425,11.74,2.3035,,9.2218,2.2435,2147023.9273
3137,002938.SZ,20240425,23.6,1.2321,,16.6605,1.819,5476233.2458
3150,600867.SH,20240425,10.18,2.4654,,17.3619,2.8172,2027585.266
3247,601231.SH,20240425,13.86,0.5104,,15.7276,1.8225,3063497.545
3254,600109.SH,20240425,8.21,1.2241,,17.7371,0.9294,3048011.3577
3274,601607.SH,20240425,17.81,0.4197,,17.5042,0.9625,6595579.1772
3327,600941.SH,20240425,104.3,0.7068,,16.9389,1.6687,223196548.0513
3365,601898.SH,20240425,11.54,0.3214,,7.8327,1.0216,15300497.5636
3402,000878.SZ,20240425,13.74,2.2908,,17.4351,1.9792,2752985.2979
3427,600522.SH,20240425,12.82,0.8187,,13.6144,1.3336,4375401.4539
3450,601717.SH,20240425,16.36,0.7096,,8.9223,1.4321,2921140.0535
3474,002056.SZ,20240425,13.56,0.6451,,12.1454,2.4972,2205821.5723
3475,600188.SH,20240425,23.63,0.5538,,8.7287,3.1306,17579233.0114
3476,002459.SZ,20240425,14.04,1.605,,8.3985,1.344,4646768.409
3484,603298.SH,20240425,29.5,0.7585,,16.0434,3.0733,2759961.1033
3524,601857.SH,20240425,10.54,0.1,,11.9709,1.3337,192904110.6202
3525,603707.SH,20240425,13.18,0.722,,19.5332,3.1423,2130742.9655
3552,000513.SZ,20240425,39.5,2.0391,,18.7438,2.505,3661885.2897
3555,600938.SH,20240425,28.85,0.7691,,11.081,2.0587,137230114.0938
3637,001965.SZ,20240425,11.76,0.2241,,11.8533,1.2641,8020716.7753
3654,000983.SZ,20240425,10.76,0.7382,,9.0212,1.6236,6108560.7395
3673,002128.SZ,20240425,18.95,0.4731,,10.6546,1.406,4247781.7692
3674,002236.SZ,20240425,16.84,1.4095,,7.536,1.5702,5547885.7792
3676,603486.SH,20240425,42.4,1.6308,,14.3909,3.7417,2444202.0176
3684,601088.SH,20240425,39.96,0.1227,,13.3003,1.9427,79394605.7402
3688,600765.SH,20240425,17.26,2.108,,19.2471,2.1988,2557148.0715
3708,600415.SH,20240425,8.2,0.5219,,16.8044,2.439,4497154.0243
3709,600486.SH,20240425,63.24,1.1048,,16.4208,2.5389,2569887.9843
3712,002714.SZ,20240425,44.3,0.4584,,18.2506,3.7711,24211511.8364
3764,002460.SZ,20240425,34.03,2.4534,,13.8765,1.4595,6864421.9519
3769,600346.SH,20240425,15.58,0.3359,,15.8835,1.7666,10966917.4666
3771,600104.SH,20240425,15.14,0.1731,,12.4236,0.6169,17525003.3597
3855,000733.SZ,20240425,51.54,3.3613,,11.9884,2.0766,2856189.2474
3892,600887.SH,20240425,28.08,0.4477,,18.9544,3.4307,17876005.1636
3898,000625.SZ,20240425,16.02,2.0642,,14.0256,2.2111,15887497.0309
3906,600030.SH,20240425,18.18,0.4546,,13.6628,1.0689,26943754.1351
3920,002736.SZ,20240425,8.68,0.2234,,12.9815,1.037,8343588.6992
3934,600062.SH,20240425,21.38,0.8877,,16.6747,2.0044,2222786.2405
3983,002831.SZ,20240425,25.51,0.7375,,15.9539,2.2447,2373740.0737
3995,000786.SZ,20240425,29.43,0.6815,,14.1096,2.128,4972221.579
4018,603799.SH,20240425,27.65,1.6165,,14.1108,1.4148,4728389.9965
4098,000776.SZ,20240425,12.88,0.213,,14.0674,0.8668,9815960.9112
4100,600702.SH,20240425,72.33,1.2276,,13.6047,3.332,2409801.0989
4105,600011.SH,20240425,9.47,0.5611,,17.6023,2.6157,14866094.411
4124,002984.SZ,20240425,25.46,4.7128,,19.2235,2.2671,2630751.6401
4175,600352.SH,20240425,9.03,0.4997,,19.1516,0.8918,2937758.6696
4239,002271.SZ,20240425,13.26,3.4013,,14.6898,1.1823,3339483.5173
4247,600875.SH,20240425,17.59,0.8217,,15.4453,1.4726,5483681.5449
4257,603816.SH,20240425,32.18,0.5677,,14.5959,2.8221,2644846.9081
4341,600801.SH,20240425,14.65,0.3358,,11.0268,1.0527,3045728.6258
4405,002432.SZ,20240425,41.94,1.6637,,1.2786,1.0556,2049567.8396
4436,601688.SH,20240425,13.31,0.6399,,9.4255,0.7834,12018111.222
4442,600309.SH,20240425,84.5,0.2816,,15.7774,3.0391,26530858.9897
4478,600563.SH,20240425,90.88,0.6391,,19.9678,4.3519,2044800.0
4484,600176.SH,20240425,11.98,0.8657,,15.7525,1.6744,4795757.8001
4517,600021.SH,20240425,8.93,0.6268,,15.7934,1.3908,2515352.075
4542,603688.SH,20240425,84.96,1.6749,,6.0911,4.0769,3069410.4625
4554,000333.SZ,20240425,68.24,0.3222,,14.109,2.9213,47575313.4211
4577,000661.SZ,20240425,109.39,0.9645,,9.7635,2.1046,4425308.8944
4670,002841.SZ,20240425,31.04,1.3352,,15.8879,1.733,2176645.9957
4704,600348.SH,20240425,9.36,1.1346,,6.5195,1.2118,3376620.0
4709,600873.SH,20240425,10.5,0.4498,,9.716,2.0791,3090597.4071
4713,601869.SH,20240425,27.21,0.7601,,15.8949,1.8239,2062259.7989
4717,600096.SH,20240425,20.3,1.6397,,8.2342,1.8395,3723687.3564
4754,000429.SZ,20240425,10.72,0.4605,,13.7185,2.276,2241344.1671
4773,000063.SZ,20240425,27.8,1.6836,,14.2588,1.9553,13297439.3146
4776,600483.SH,20240425,9.67,0.7347,,9.4389,1.1104,2476282.5801
