000428.SZ 华天酒店 酒店餐饮
000429.SZ 粤高速A 路桥
000430.SZ 张家界 旅游景点
000488.SZ 晨鸣纸业 造纸
000498.SZ 山东路桥 建筑工程
000501.SZ 武商集团 百货
000503.SZ 国新健康 软件服务
000504.SZ 南华生物 医疗保健
000505.SZ 京粮控股 食品
000506.SZ *ST中润 黄金
000507.SZ 珠海港 港口
000509.SZ 华塑控股 元器件
000510.SZ 新金路 化工原料
000513.SZ 丽珠集团 化学制药
000514.SZ 渝开发 区域地产
000516.SZ 国际医学 医疗保健
000517.SZ 荣安地产 区域地产
000518.SZ 四环生物 生物制药
000519.SZ 中兵红箭 专用机械
000520.SZ 凤凰航运 水运
000521.SZ 长虹美菱 家用电器
OK 2.1816513950858094 1.7903534258768992 0.23853459768226068 15.7052
000523.SZ 红棉股份 日用化工
000524.SZ 岭南控股 旅游服务
000525.SZ ST红太阳 农药化肥
000526.SZ 学大教育 文教休闲
000528.SZ 柳工 工程机械
000529.SZ 广弘控股 食品
000530.SZ 冰山冷热 机械基件
000531.SZ 穗恒运A 火力发电
000532.SZ 华金资本 多元金融
000533.SZ 顺钠股份 电气设备
000534.SZ 万泽股份 生物制药
000536.SZ 华映科技 元器件
000537.SZ 中绿电 新型电力
000538.SZ 云南白药 中成药
000539.SZ 粤电力A 火力发电
000541.SZ 佛山照明 家用电器
000543.SZ 皖能电力 火力发电
000544.SZ 中原环保 环境保护
000545.SZ 金浦钛业 化工原料
000546.SZ 金圆股份 环境保护
000547.SZ 航天发展 通信设备
000548.SZ 湖南投资 路桥
000550.SZ 江铃汽车 汽车整车
OK 0.5028383832531872 0.23365520197227183 0.5340890678740253 15.4672
000551.SZ 创元科技 专用机械
000552.SZ 甘肃能化 煤炭开采
000553.SZ 安道麦A 农药化肥
000554.SZ 泰山石油 石油贸易
000555.SZ 神州信息 软件服务
000557.SZ 西部创业 铁路
000558.SZ 莱茵体育 文教休闲
000559.SZ 万向钱潮 汽车配件
000560.SZ 我爱我家 房产服务
000561.SZ 烽火电子 通信设备
000563.SZ 陕国投A 多元金融
OK 0.14443256521653053 0.2917761217978508 0.10033810393198785 14.9288
000564.SZ ST大集 百货
000565.SZ 渝三峡A 染料涂料
000566.SZ 海南海药 化学制药
000567.SZ 海德股份 多元金融
OK 0.8320472355613067 0.24852790532758007 0.19021218651337884 15.3654
000568.SZ 泸州老窖 白酒
000570.SZ 苏常柴A 农用机械
000571.SZ 新大洲A 煤炭开采
000572.SZ 海马汽车 汽车整车
000573.SZ 粤宏远A 电气设备
000576.SZ 甘化科工 食品
000581.SZ 威孚高科 汽车配件
000582.SZ 北部湾港 港口
000584.SZ *ST工智 专用机械
000586.SZ 汇源通信 通信设备
000589.SZ 贵州轮胎 汽车配件
OK 0.16718148690385978 0.9450339648041802 1.2103765969580131 12.3691
000590.SZ 启迪药业 中成药
000591.SZ 太阳能 新型电力
000592.SZ 平潭发展 林业
000593.SZ 德龙汇能 供气供热
000595.SZ 宝塔实业 机械基件
000596.SZ 古井贡酒 白酒
000597.SZ 东北制药 化学制药
000598.SZ 兴蓉环境 水务
OK 0.11979666170673793 0.11631544849744414 0.20539525106645012 12.1284
000599.SZ 青岛双星 汽车配件
000600.SZ 建投能源 火力发电
000601.SZ 韶能股份 水力发电
000603.SZ 盛达资源 铅锌
000605.SZ 渤海股份 供气供热
000607.SZ 华媒控股 广告包装
000608.SZ 阳光股份 区域地产
000609.SZ *ST中迪 区域地产
000610.SZ 西安旅游 旅游服务
000612.SZ 焦作万方 铝
000615.SZ *ST美谷 医疗保健
000617.SZ 中油资本 多元金融
000619.SZ 海螺新材 其他建材
000620.SZ *ST新联 全国地产
000622.SZ *ST恒立 批发业
000623.SZ 吉林敖东 中成药
000625.SZ 长安汽车 汽车整车
000626.SZ 远大控股 商贸代理
000627.SZ 天茂集团 保险
000628.SZ 高新发展 建筑工程
000629.SZ 钒钛股份 小金属
000630.SZ 铜陵有色 铜
000631.SZ 顺发恒业 综合类
000632.SZ 三木集团 综合类
000633.SZ 合金投资 小金属
000635.SZ 英力特 化工原料
000636.SZ 风华高科 元器件
000637.SZ ST实华 石油加工
000638.SZ 万方发展 农业综合
000639.SZ 西王食品 食品
000650.SZ 仁和药业 中成药
000651.SZ 格力电器 家用电器
000652.SZ 泰达股份 批发业
000655.SZ 金岭矿业 普钢
OK 0.4643275876907209 0.15671010301749472 0.36327334398204525 16.6771
000656.SZ *ST金科 全国地产
000657.SZ 中钨高新 小金属
000659.SZ 珠海中富 广告包装
000661.SZ 长春高新 生物制药
000663.SZ 永安林业 林业
000665.SZ 湖北广电 影视音像
000668.SZ 荣丰控股 医药商业
000669.SZ ST金鸿 供气供热
000670.SZ 盈方微 元器件
000672.SZ 上峰水泥 水泥
000676.SZ 智度股份 互联网
000677.SZ 恒天海龙 化纤
000678.SZ 襄阳轴承 汽车配件
000679.SZ 大连友谊 百货
000680.SZ 山推股份 工程机械
OK 2.016339247675461 0.20779632374570783 0.22488890294200178 17.569
000681.SZ 视觉中国 互联网
000682.SZ 东方电子 电气设备
000683.SZ 远兴能源 化工原料
000685.SZ 中山公用 水务
000686.SZ 东北证券 证券
000688.SZ 国城矿业 铅锌
000690.SZ 宝新能源 火力发电
000691.SZ 亚太实业 化工原料
000692.SZ *ST惠天 供气供热
000695.SZ 滨海能源 广告包装
000697.SZ *ST炼石 航空
000698.SZ 沈阳化工 石油加工
000700.SZ 模塑科技 汽车配件
000701.SZ 厦门信达 商贸代理
000702.SZ 正虹科技 饲料
000703.SZ 恒逸石化 化纤
000705.SZ 浙江震元 医药商业
000707.SZ 双环科技 化工原料
000708.SZ 中信特钢 特种钢
000709.SZ 河钢股份 普钢
000710.SZ 贝瑞基因 医疗保健
000711.SZ *ST京蓝 环境保护
000712.SZ 锦龙股份 证券
000713.SZ 丰乐种业 种植业
000715.SZ 中兴商业 百货
000716.SZ 黑芝麻 食品
000717.SZ 中南股份 普钢
000718.SZ 苏宁环球 区域地产
000719.SZ 中原传媒 出版业
000720.SZ 新能泰山 电气设备
000721.SZ 西安饮食 酒店餐饮
000722.SZ 湖南发展 其他建材
000723.SZ 美锦能源 焦炭加工
000725.SZ 京东方A 元器件
000726.SZ 鲁泰A 纺织
000727.SZ 冠捷科技 元器件
000728.SZ 国元证券 证券
000729.SZ 燕京啤酒 啤酒
000731.SZ 四川美丰 农药化肥
000733.SZ 振华科技 元器件
000735.SZ 罗牛山 农业综合
000736.SZ 中交地产 全国地产
000737.SZ 北方铜业 铜
000738.SZ 航发控制 航空
000739.SZ 普洛药业 化学制药
000750.SZ 国海证券 证券
000751.SZ 锌业股份 铅锌
000752.SZ *ST西发 啤酒
000753.SZ 漳州发展 汽车服务
000755.SZ 山西高速 路桥
